Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Banking & Financial Services,Aeropay,Business,"Daniel ""Dan"" Muller — Founder & CEO",canna.activations@aeropay.com,,https://www.goaeropay.com/,Ohio | United States,Banking / Financial Services,Source-verified,Current provider plus an Ohio RISE dispensary page corroborate active Ohio use of Aeropay's bank-to-bank payment service.,https://www.goaeropay.com/ | https://oh.risecannabis.com/dispensaries/ohio/cleveland/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Marketing & Media,Agensea,Business,,info@agensea.co,,https://agensea.co/cannabis-branding-marketing-creative-agency/,Nationwide; United States,Marketing / Media,Source-verified,"Upgraded from Legacy on strong first-party evidence: the current site explicitly markets an Ohio Cannabis Marketing Agency offering, names major Ohio markets, and states it has portfolio work in Ohio. No individual applies — current site has a Team section but does not expose defensible individual names; also note this Ahmedabad-based marketing agency should not be conflated with unrelated companies using the same name.",https://agensea.co/cannabis-branding-marketing-creative-agency/,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Legal & Licensing,Ainslie Consulting,Business,Joseph Wright — Owner,admin@ainslie.us,,https://www.ainslie.us/services,"Chicago, Illinois; U.S. cannabis licensing and regulatory consulting; no Ohio engagement identified",Legal; Licensing; Regulatory Compliance,Source-verified,"Retained as a national cannabis-specialist consultancy. The official site confirms licensing, regulatory-affairs and compliance services and now provides the organizational outreach route admin@ainslie.us plus a contact form. Current public profiles identify owner Joseph Wright and Chicago headquarters. No Ohio or DCC engagement is publicly identified.",https://www.ainslie.us/services | https://www.ainslie.us/contact-us | https://www.linkedin.com/company/ainslieconsulting | https://www.linkedin.com/in/josephmwright,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed | Legal & Licensing outreach-enrichment pass, 2026-08-23; first-party contact route reviewed"
Consulting,AirMD,Business,Simon Hahessy — Founder & Scientific Director,info@airmd.com,888-462-4763,https://airmd.com/areas-served/ohio/,"Ohio — Columbus, Cleveland and Cincinnati metros; national network",Indoor Air Quality; Mold / Microbial Assessment; Industrial Hygiene; Environmental Monitoring,Source-verified,"National environmental-testing network with current Ohio service coverage, including Columbus, Cleveland, Cincinnati, Dayton and Toledo, for mold, asbestos, chemical, building-science and industrial-hygiene needs. No cannabis-specific practice is published; included as an Ohio-serving horizontal capability, not a cannabis specialist.",https://airmd.com/areas-served/ohio/ | https://airmd.com/about-us/ | https://airmd.com/author/simon/,"Facility & EHS gap research — 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 12, final), 2026-08-16; source pages retrieved and reviewed | Consulting issue-resolution pass — 2026-08-22; current Ohio service-area and company pages retrieved and reviewed"
Consulting,Allay Consulting,Business,"Kim Anzarut (Stuck) — Owner, founder and CEO",,970-308-4141,https://allayconsulting.com/contact/,"All 50 states, Canada and Mexico",Consulting; Regulatory Compliance; EHS / OSHA / EPA,Source-verified,"Current first-party contact page supplies a direct business phone and inquiry form. The current site confirms the former-regulator team and nationwide cannabis, hemp, product-safety, OSHA and cGMP compliance practice.",https://allayconsulting.com/contact/ | https://allayconsulting.com/about-us/,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Consulting outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Alleaves,Business,,,786-730-6004,https://alleaves.com/contact-us/,United States; no verified current Ohio deployment,Technology,Source-verified,"Moved to the retained separate-list/out-of-scope bucket after Ohio-referral review. Alleaves remains a current cannabis POS, ecommerce and traceability platform with an active demo route and phone. Current first-party product and integration materials establish general BioTrack/state-traceability capability and identify a Queens, New York customer, but no Ohio operator/client or Ohio-specific configuration was found. The published support inbox was not repurposed as a sales contact. Preserve as a national reference; do not present as Ohio-referral-safe without current Ohio evidence.",https://alleaves.com/solutions/sell-point-of-sale/ | https://alleaves.com/about-us/alleaves-biotrack-integration/ | https://alleaves.com/contact-us/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | v67-TECH2 Technology disposition pass, 2026-08-23; first-party product, integration and contact pages retrieved and reviewed"
Real Estate / Build-Out,Allspace,Business,,hello@goallspace.com,856-424-1161,https://goallspace.com/,Nationwide fabrication and installation,Real Estate / Build-Out,Source-verified,"Strong current cannabis relevance: a dedicated cannabis-retail practice, with Curaleaf and Zen Leaf named among representative client experience — both of which are entries in this Directory. No individual applies — current site explicitly says it will connect inquiries with the right team; no public cannabis lead is designated.",https://goallspace.com/cannabis-retail,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed"
Insurance,AlphaRoot,Business,Brendan O'Connor — Managing Director,info@alpharoot.com,646-854-1093,https://alpharoot.com/cannabis-insurance/ohio/,Ohio,Insurance,Source-verified,"Actively markets Ohio cannabis insurance, so the entity belongs here. Source caveat: its Ohio regulatory copy contains outdated statements about recreational cannabis — use the page for service verification, not as regulatory authority. Current AlphaRoot management page; identifies AlphaRoot as The Baldwin Group's cannabis-insurance arm.",https://alpharoot.com/cannabis-insurance/ohio/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Technology,"Alpine IQ (AIQ; incl. AIQ Ecommerce, formerly Dispense)",Business,Nicholas Paschal — CEO,,303-219-6233,https://aiq.com/,"Ohio deployment documented at Elevated Growth, Columbus | National",Technology; Ecommerce / Online Ordering,Source-verified,"Ohio deployment confirmed. Elevated Growth's current first-party Columbus dispensary site routes its newsletter/rewards signup directly to a live lab.alpineiq.com enrollment page, establishing active AIQ marketing/loyalty use by a named Ohio operator already in this Directory. This evidence supports the marketing/loyalty relationship only; it does not prove AIQ ecommerce or POS use at Elevated Growth. AIQ's current site and about page confirm the Alpine IQ identity, Nicholas Paschal as CEO, its current product suite and demo route.",https://aiq.com/ | https://aiq.com/about | https://www.elevatedgrowth.com/online-ordering/ | https://lab.alpineiq.com/join/c/3103/5853,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | v67-TECH2 Technology disposition pass, 2026-08-23; current AIQ identity and Elevated Growth deployment evidence retrieved and reviewed"
Banking & Financial Services,Alta Real Estate Fund,Business,,ir@alta-financial.com,,https://www.alta-fund.com/,United States — nationwide,Banking / Financial Services; Lending / Financing,Source-verified,Current first-party pages state that Alta finances regulated cannabis operators across the USA and reports more than $70 million invested as of Q1 2026. Prior Ohio-availability issue resolved.,https://www.alta-fund.com/ | https://www.alta-fund.com/fund-ii.html,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15 | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Altaqua,Business,,info@altaqua.com,+86 138 0922 0755,https://altaqua.com/,International; no verified current Ohio installation or client,HVAC / Climate Control; Dehumidification; Cultivation,Source-verified,"Moved to the retained separate-list/out-of-scope bucket after Ohio-referral review. Altaqua remains a current purpose-built grow-room HVAC manufacturer with commercial cannabis/CEA systems, international contact routes and project examples in the United States and other countries. Its project material does not identify an Ohio facility or client, and it is an equipment manufacturer rather than a documented Ohio installing contractor. Preserve as a national/international reference; do not present as Ohio-referral-safe until a current Ohio installation or partner is documented.",https://altaqua.com/ | https://altaqua.com/grow-room-hvac-project,"Facility & EHS gap research — 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | v67-RE2 Real Estate / Build-Out disposition pass, 2026-08-23; first-party product, project and contact pages retrieved and reviewed"
Nonprofit & Advocacy,Americans for Safe Access,Nonprofit,Steph Sherer — press contact for Ohio town hall,steph@safeaccessnow.org | info@safeaccessnow.org,(202) 857-4272,https://www.safeaccessnow.org/ohio_judiciary,Ohio / United States,Nonprofit / Advocacy; Veteran Services / Advocacy; Policy Advocacy,Source-verified,"ASA documents Ohio legislative advocacy and an Ohio town hall in Chesterland organized with Veterans Initiative 22. Its official directory does not list a standing Ohio chapter, so outreach routes through ASA's national office and Ohio partner.",https://www.safeaccessnow.org/emergency_town_hall_to_address_urgent_threat_to_federal_medical_cannabis_protections | https://www.safeaccessnow.org/asa_chapters_and_affiliates,Research pass — 2026-08-14; Ohio-presence verification pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed
Cultivator / Processor / Dispensary,Amplify,Business,Amplify Columbus Store Team — General inquiries,support@amplifydispensary.com,614-656-7222,https://amplifydispensary.com/contact-us/,Central Ohio,Cannabis Operator; Processing; Dispensary / Retail,Source-verified,"Ohio dispensary brand owned by Buckeye Relief (per Amplify's own self-identification). Split out of a combined ""Amplify / CannAscend"" record — CannAscend Ohio Processing is a separately licensed processor under the Cannabist/Columbia Care corporate family and is not affiliated with Amplify/Buckeye Relief. Documented current wholesale/distribution relationship: named as a current Ohio dispensary partner carrying Klutch Cannabis products, per Klutch's own statewide locator. Klutch is also an entry in this Directory.",https://amplifydispensary.com/about-us/faq/,"Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed"
Insurance,Amwins Program Underwriters,Business,John Deneen — Program Manager,john.deneen@amwins.com | cannabis.apu@amwins.com,303-865-6960,https://www.amwins.com/products/cannabis,"All legal-cannabis U.S. states, including Ohio",Insurance,Source-verified,Phone and both listed emails confirmed current.,https://www.amwins.com/products/cannabis,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed"
Consulting,Ananda Strategy,Business,Hirsh Jain — Founder,hirsh@anandastrategy.com,510-468-1690,https://www.anandastrategy.com/,Ohio and multi-market,Consulting,Source-verified,Current first-party site supplies Hirsh Jain's direct business email and phone and explicitly names Ohio among Ananda Strategy's operating markets.,https://www.anandastrategy.com/ | https://www.anandastrategy.com/about | https://ochbs.com/speakers/,"Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Consulting outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ancient Roots,Business,David Haley — Founder & CEO,contact@ancientrootsohio.com,937-302-4769,https://www.ancientrootsohio.com/contact/,Southwest Ohio / Cincinnati,Cannabis Operator,Source-verified,Current Ohio cannabis operator/brand confirmed.,https://www.ancientrootsohio.com/why-ancient-roots-ohio-marijuana,"Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed"
Real Estate / Build-Out,Anderson Porter Design,Business,Brian Anderson — Founding Partner,info@andersonporter.com,617-354-2501,https://www.andersonporter.com/contact,Licensed in Ohio | Nationwide reach,Real Estate / Build-Out; HVAC / Climate Control; Architecture / Engineering,Source-verified,"The Wintersville dispensary project for Ohio Valley Natural Relief is documented. CROSS-REFERENCE: this Directory has already established that OVNR is the legal entity now operating as a Greenlight Dispensary location at that same Wintersville site — so this is a historical OVNR / current Greenlight-site relationship, not two unrelated clients. Documented historical→current relationship through acquisition: Anderson Porter's portfolio identifies a 2018 dispensary design project for Ohio Valley Natural Relief in Wintersville. Contemporaneous Ohio reporting indicates Greenlight purchased Ohio Valley Natural Relief in 2024, and Greenlight currently operates that same Wintersville location — already documented in this Directory as an alias relationship on the Ohio Valley Natural Relief / Greenlight Dispensary rows. This adds an architecture/design provenance layer to a relationship this Directory had already partly mapped.",https://www.andersonporter.com/cannabis-portfolio/ovnr-dispensary | https://www.andersonporter.com/our-team,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed"
Security & Cash Logistics,Apple Water Management,Business,,info@applewatermanagement.com,951-334-5966,https://applewatermanagement.com/,United States; Ohio availability not published,Security / Cash Logistics; Cash Management,Source-verified,"Current first-party pages confirm cannabis-specific ATM and cash-management service plus Operational Security Solutions as the CIT partner. Retained as a national cannabis-specialist option; Ohio coverage is not publicly stated and must be confirmed before referral. No individual contact is published, so the organizational route remains.",https://applewatermanagement.com/ | https://applewatermanagement.com/company-2/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Security & Cash Logistics source-repair pass; source URLs retrieved and reviewed 2026-08-22"
Accounting & Tax,Aprio,Business,"Melissa Harrington — Partner, Tax",,602-776-6329,https://www.aprio.com/cannabis-accounting/,"Nationwide, including Ohio",Accounting; Tax,Source-verified,"Active cannabis accounting/advisory practice confirmed. Harrington leads Aprio's cannabis industry group — via the Price Kong acquisition (Phoenix, AZ), consistent with this row's existing note that Aprio's cannabis practice is Arizona-centered rather than evidence of Ohio service.",https://www.aprio.com/cannabis-accounting/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Security & Cash Logistics,ArcadianAI,Business,Marie Roohi — CEO & Co-Founder,sales@arcadian.ai,800-288-9192,https://www.arcadian.ai/pages/cannabis-security,United States and Canada; remote cloud service with Ohio-hosted infrastructure available,Security / Cash Logistics,Source-verified,"Current first-party evidence confirms a cannabis-specific AI/cloud video-security service for multi-site U.S. and Canadian operators, with Ohio-hosted infrastructure available. Local installation is not necessary to establish availability for this remote service, but installation responsibility and retention configuration should be confirmed for each site. Treat vendor compliance claims as marketing, not current Ohio DCC legal authority.",https://www.arcadian.ai/pages/cannabis-security,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Security & Cash Logistics pass, 2026-08-22; source pages retrieved and reviewed"
Real Estate / Build-Out,ARCO National Construction,Business,"Paul DiGiacobbe — Business Development, Cleveland",,513-272-2333,https://www.arconational.com/contact/,Ohio offices | Nationwide,Real Estate / Build-Out; Construction / Build-Out,Source-verified,"OPEN ISSUE RESOLVED. ARCO's current Cleveland team page explicitly lists Paul DiGiacobbe in Business Development, and the current Ascension BioMedical project page identifies him in that same role. The firm and contact are now directly confirmed. Documented client relationship: Ascension BioMedical (Oberlin, OH) — ARCO is delivering a 28,000 SF new facility plus renovation of the existing 19,000 SF cultivation facility. Ascension BioMedical is also an entry in this Directory. These dimensions closely match the expansion Dominion AG announced in 2024 for preconstruction; this appears to be one continuous project with DAG handling early-stage preconstruction/design and ARCO handling construction delivery, not two unrelated projects. The reason for the contractor transition is not established in available sources.",https://www.arconational.com/cannabis-construction/ | https://www.arconational.com/cleveland-construction-company/ | https://www.arconational.com/ascension-biomedical-expands-cannabis-cultivation-capabilities-in-oberlin-ohio/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15 | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | Real Estate / Build-Out pass, 2026-08-22; source pages retrieved and reviewed"
Consulting,Arcview Consulting,Business,David Abernathy — Principal,info@arcviewconsulting.com,,https://arcviewconsulting.com/,U.S. and international multi-market; Ohio-specific engagement not identified,Consulting; Regulatory Compliance,Source-verified,"Current first-party site confirms the consulting team and active licensing, compliance, transactions and growth services. The site now publishes a protected organizational email link; Arcview’s company post corroborates info@arcviewconsulting.com. This is a general company route, not David Abernathy’s direct address; the Discuss a Project form remains available.",https://arcviewconsulting.com/ | https://arcviewconsulting.com/cannabis-licensing-and-compliance/ | https://www.linkedin.com/posts/arcviewgroup_nycannabis-cannabisindustry-cannabisbusiness-activity-7107775858555174912-b394,"Research pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed | Consulting issue-resolution pass — 2026-08-22; current company and service pages retrieved and reviewed | Consulting outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed | Terminal residual audit, 2026-08-23; protected first-party email and company corroboration reviewed"
Accounting & Tax,Armanino,Business,"Ken Teasdale — Partner, Cannabis Industry",,818-587-9305 | General: 844-582-8883,https://www.armanino.com/contact/,United States; no Ohio client or engagement publicly identified,Accounting; Tax,Source-verified,Retained as a current national cannabis accounting and advisory provider. Armanino's first-party cannabis practice page identifies Ken Teasdale as the cannabis-industry partner and provides direct contactability. No Ohio client or engagement is publicly identified.,https://www.armanino.com/industries/cannabis/ | https://www.armanino.com/contact/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15 | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Ascend Cannabis,Business,"Samuel Brill — Chief Executive Officer & Director (Frank Perullo — President & Director, also Company Contact)",IR@awholdings.com,646-661-7600,https://letsascend.com/locations/ohio/,"Six Ohio dispensaries: Carroll, Cincinnati, Coshocton, Englewood, Piqua and Sandusky",Cannabis Operator; Dispensary / Retail,Source-verified,"Current first-party Ohio locator confirms six operating dispensaries. BCCO LLC / CCD000036-00 resolves to Ascend Carroll by the exact 3560 Dolson Court address; preserve the former Ohio Provisions identity only as historical context, not a separate current operator. Perullo is named Company Contact on current AWH investor communications; Brill's CEO role is independently confirmed. Documented build-out relationship: Cannabis Facility Construction stated in November 2023 it had constructed 14 Ascend/AWH dispensaries nationally, including a then-upcoming Cincinnati store; CFC's specific completion of that store is not independently confirmed beyond the announcement. Klutch's current locator names Ascend as an Ohio retail partner.","https://letsascend.com/locations/ohio/ | https://letsascend.com/locations/ohio/carroll/ | Ohio DCC Current Roster, BCCO LLC / CCD000036-00","Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping Batch 3, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Cultivator / Processor / Dispensary,Ascension BioMedical LLC,Business,Fadi Boumitri — Founder & CEO; Melissa Merse — Managing Partner; Demetrius Harrington — Cultivation Supervisor,info@cannabisseeker.com,,https://ascensioncann.com/,"Oberlin, Ohio",Cannabis Operator; Cultivation,Source-verified,"Ohio-owned cannabis cultivation operation with an expanded Oberlin facility. Documented vendor relationships: CannaContent (SEO/digital marketing, current per an April 2026 testimonial from Managing Partner Melissa Merse) and, separately, the Dominion AG / ARCO National Construction project chain already documented on this Directory's build-out entries. CannaContent is also an entry in this Directory.",https://cannabisseeker.com/ | https://www.cannabisbusinesstimes.com/cultivation/news/15823134/ascension-biomedical-expands-cannabis-cultivation-capabilities-in-oberlin-ohio,"Original expo CRM | Research cleanup — 2026-08-14; QA'd 2026-08-14 | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed"
