Organization A,Organization B / Counterparty,Relationship Type,Project / Geography,Status,Evidence Summary,Directory Row Source(s) — row-level context,Directory Row,Pass / Provenance,Counterparty Status
Dutchie,Klutch Cannabis,Payments,Ohio stores,Current,Klutch stores accept Dutchie Pay.,https://support.dutchie.com/hc/en-us/articles/29257181849619-Ohio-Hybrid-Licensee-Guide-Dutchie-POS,71,"IgniteIt Network | Organizations | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed",Y
Grove Bags,King City Gardens,Packaging / TerpLoc,Cincinnati-area Ohio operations,Current,King City states it uses Grove Bags/TerpLoc for gummies and vape packaging.,https://cannacon.org/seminar-location/midwest-st-paul-2025/ | https://grovebags.com/pages/contact,83,"Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed",Y
Headset,Klutch Cannabis,Brand-locator / data integration,Ohio statewide locator,Current,Headset powers Klutch's statewide Find Klutch Near Me brand-locator tool.,https://www.headset.io/retailer | https://www.headset.io/contact,84,"IgniteIt Network | Organizations | Speakers | Batch 2 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | Technology outreach enrichment, 2026-08-23; first-party contact routes reviewed",Y
King City Gardens,Jeeter,Brand licensing / manufacturing / distribution,Ohio statewide,Current 2026,"Exclusive Ohio partnership to manufacture, launch and distribute Jeeter products; Jeeter remains relationship-only under the national-brand scope rule.",https://kingcitygardens.com/about-us/ | https://www.prnewswire.com/news-releases/king-city-gardens-opens-first-dispensary-the-garden-dispensary-in-cincinnati-302575380.html | https://medicateoh.com/featured/king-city-introduces-the-garden-dispensary-a-new-cannabis-destination-in-dayton-ohio/ | https://otcdispo.com/,89,"Original expo CRM | Research cleanup — 2026-08-14; QA'd 2026-08-14 | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified | DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified",Relationship-only
Klutch Cannabis,Cookies,Brand partnership,Ohio,Current,Klutch identifies Cookies as an Ohio brand partner; national licensed-in brand remains relationship-only.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Relationship-only
Klutch Cannabis,Josh D,Brand partnership,Ohio,Current; relationship dates to 2018,Klutch identifies Josh D as its 'OG Ohio partner'; national licensed-in brand remains relationship-only.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Relationship-only
Klutch Cannabis,Kiva Confections,Brand partnership,Ohio,Current,Klutch identifies Kiva Confections as a brand partner; national licensed-in brand remains relationship-only.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Relationship-only
CannaPlanners,Klutch Cannabis,Website / digital development,Ohio,Current,Klutch credits CannaPlanners as its site provider.,https://cannaplanners.com/who-are-you/existing-dispensary | https://cannaplanners.com/get-started,356,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15 | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
CanPay,Klutch Cannabis,Payments,Ohio stores,Current,Klutch stores accept CanPay as a cashless payment option.,https://www.canpaydebit.com/ohio-canpay-dispensaries/ | https://www.canpaydebit.com/does-citizen-by-klutch-accept-canpay/,287,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed",Y
Klutch Cannabis,Ascend Cannabis,Wholesale / retail distribution,Ohio,Current,Klutch's statewide locator lists Ascend as a dispensary partner carrying Klutch products.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Y
Klutch Cannabis,Amplify,Wholesale / retail distribution,Ohio,Current,Klutch's statewide locator lists Amplify as a dispensary partner carrying Klutch products.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Y
Klutch Cannabis,Backroad Wellness,Wholesale / retail distribution,Ohio,Current,Klutch's statewide locator lists Backroad Wellness as a dispensary partner carrying Klutch products.,https://www.klutchcannabis.com/ | https://www.klutchcannabis.com/blog/klutch-cannabis-to-rebrand-dispensaries-and-launch-cookies-products-in-january-2025/ | https://www.klutchcannabis.com/contact/ | https://www.prnewswire.com/news-releases/klutch-cannabis-announces-acquisition-of-second-columbus-dispensary-in-grandview-relocation-of-tallmadge-store-to-new-flagship-location-in-akron-302866476.html | https://www.klutchcannabis.com/grandview-dispensary/,90,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 5), 2026-08-16; source pages retrieved and reviewed | DCC legal-entity → trade-name mapping, 2026-08-23; source pages retrieved and reviewed; roster-verified",Y
Mammoth Labels & Packaging,Motive CBD,Labels / packaging,Ohio brand relationship,Documented,Motive CBD is listed among brands Mammoth's cannabis/CBD labeling page identifies as trusted by.,https://mammothpackaging.com/markets/cannabis-labels/,152,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed",Y
DEM360,Trulieve Ohio,Security / IT services,Corporate client; Ohio facility not specified,Current,DEM360 names Trulieve among its current cannabis clients.,https://www.dem360.com/our-services/cannabis-security,176,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
DEM360,Story Cannabis,Security / IT services,Corporate client; Ohio facility not specified,Current,DEM360 names Story Cannabis among its current cannabis clients.,https://www.dem360.com/our-services/cannabis-security,176,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
Sapphire Risk Advisory Group,QuadScore,Insurance/security risk-management partnership,Cannabis supply chain,Current partnership,Sapphire and QuadScore document a risk-management partnership aimed at reducing security losses for cannabis insureds.,https://www.sapphirerisk.com/adult-use-cannabis-in-ohio/,138,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed",Y
Sapphire Risk Advisory Group,VALERE Architects,Professional affiliate / design-security collaboration,Cannabis dispensary design,Current affiliate,VALERE lists Sapphire as an affiliate; the firms also jointly presented on dispensary design and security.,https://www.sapphirerisk.com/adult-use-cannabis-in-ohio/,138,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed",Y
Terrapin Construction Group,Ayr Wellness Ohio,Construction administration,"Cleveland, Ohio; 60,000 SF facility",Confirmed project,Terrapin documents an AYR Wellness Cleveland cannabis facility through occupancy.,https://terrapincg.com/cannabis-facility-construction,144,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed",Y
Solink,Flowhub,Technology integration,Cannabis retail,Current integration,Solink maintains a dedicated Flowhub integration for dispensary operations.,https://solink.com/solutions/cannabis-security/,182,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Security & Cash Logistics pass, 2026-08-22; source pages retrieved and reviewed",Y
Metrc,BLAZE,Compliance / track-and-trace integration,Ohio,Current validated integration,Metrc lists 420 Connect / Blaze Solutions as a validated Ohio integrator; BLAZE documents Metrc Connect integration.,https://www.metrc.com/partner/ohio/,192,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed",Y
Metrc,Flowhub,POS / compliance integration,Ohio-applicable,Current integration,Flowhub documents direct Metrc integration and identifies Metrc as a major integration partner.,https://www.metrc.com/partner/ohio/,192,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed",Y
CannaContent,Ethos Cannabis,Educational content / marketing,Geography unspecified,Confirmed testimonial,CannaContent records an Ethos client testimonial describing an educational-content partnership.,https://cannacontent.co/services/,207,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed",Y
DEEPROOTS,The Botanist (Acreage Holdings),SEO,Multi-state rebuild with Ohio applicability,Current,DEEPROOTS handled SEO for The Botanist's Dutchie E-Commerce Pro rebuild.,https://deeproots.io/ | https://dutchie.com/business/cannabis-retail-case-studies-customer-stories/the-botanist-e-commerce-pro-replatform-49-new-customers | https://www.canorml.org/cannabis-resource-directory/business-services/business-services-directory/deeproots-partners/,211,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
Trip,Studio Bliss,Marketing / website / SEO / content,National,Current,TRIP's case study describes effectively serving as Studio Bliss's marketing department.,https://tripstudio.co/services/ | https://tripstudio.co/contact/ | https://tripstudio.co/team/,212,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
PufCreativ,Studio Bliss,Strategic partnership,Brand/digital + architecture,Current 2026,January 2026 partnership combines PufCreativ brand/digital strategy with Studio Bliss architecture.,https://pufcreativ.com/about-us/ | https://dutchie.com/business/cannabis-retail-case-studies-customer-stories/the-botanist-e-commerce-pro-replatform-49-new-customers | https://pufcreativ.com/contact/,222,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
PufCreativ,The Botanist (Acreage Holdings),UX / digital design,Multi-state rebuild with Ohio applicability,Current,PufCreativ designed The Botanist desktop/mobile experience for the Dutchie rebuild.,https://pufcreativ.com/about-us/ | https://dutchie.com/business/cannabis-retail-case-studies-customer-stories/the-botanist-e-commerce-pro-replatform-49-new-customers | https://pufcreativ.com/contact/,222,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed",Y
RBI CMS,Curaleaf Ohio,Cultivation/processing construction,"Johnstown, Ohio",Historical confirmed,RBI documents a Curaleaf cultivation/processing facility in Johnstown; dated source treated as project history.,https://rbicms.com/,263,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed",Y
RBI CMS,Verano / Zen Leaf,Dispensary construction,"Newark, Ohio",Historical 2019,RBI documents a 2019 Verano dispensary project in Newark.,https://rbicms.com/,263,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed",Y
Path Construction,Consume Cannabis (PTS Grows),Design-build,"Oxford, Ohio; 4,400 SF",Confirmed project,Path documents the Consume Oxford dispensary as a design-build project.,https://pathcc.com/projects/cannabis-dispensary/,264,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed",Y
Stockmeister Services,CannAscend Ohio Processing,Cannabis facility construction,"Wilmington, Ohio",Historical/confirmed,"Stockmeister lists CannAscend — Wilmington, Ohio among completed cannabis projects.",https://stockmeister.com/contact-us/,268,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
Stockmeister Services,The Cannabist Company / Columbia Care Ohio,Dispensary construction lineage,"Monroe, Dayton, Logan, Marietta, Ohio",Historical,Stockmeister built Strawberry Fields locations under CannAscend ownership before Columbia Care's acquisition; retained as historical lineage.,https://stockmeister.com/contact-us/,268,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
Summit Construction Company,Galenas LLC,Cultivation-facility construction,"Ohio; 10,000 SF",Confirmed project,Summit states it managed all aspects of construction for the Galenas cultivation facility.,https://www.summitconstruction.com/project/galenas-new-building | https://www.summitconstruction.com/contact,270,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
Anderson Porter Design,Greenlight Dispensary,Dispensary architecture/design lineage,"Wintersville, Ohio",Historical→current lineage,Anderson Porter designed the 2018 Ohio Valley Natural Relief dispensary; Greenlight later acquired OVNR and operates the same site.,https://www.andersonporter.com/cannabis-portfolio/ovnr-dispensary | https://www.andersonporter.com/our-team,271,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed",Y
"Dr. Greenhouse, Inc.",Buckeye Relief,HVAC / mechanical engineering,"Eastlake, Ohio",Confirmed projects,"Dr. Greenhouse documents flower-room retrofit, dry-room redesign and mechanical design work for Buckeye Relief.",https://www.doctorgreenhouse.com/project-profiles/buckye-relief,272,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed",Y
Cannabis Facility Construction (CFC),Ascend Cannabis,Dispensary construction,Multi-location; Cincinnati planned/documented,Confirmed relationship; Cincinnati completion not independently verified,CFC states it constructed multiple AWH dispensaries and documented an upcoming Cincinnati project.,https://cannabisfacility.net/who-we-are/ | https://cannabisfacility.net/request-a-consultation/,274,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed",Y
